,timestep,location_0_x,location_0_y,location_1_x,location_1_y,location_2_x,location_2_y,location_3_x,location_3_y,location_4_x,location_4_y,location_5_x,location_5_y,location_6_x,location_6_y,location_7_x,location_7_y,location_8_x,location_8_y
864,43.2,48.10771288,0.498053509,50.24475784,3.304317666,50.1079433,3.501946491,48.7625172,2.237482799,51.24846769,3.248467692,50.84145628,3.500922029,49.7625172,0.498053509,51.84926073,2.775894596,49.59742154,3.503377451
865,43.25,48.05204283,0.498053509,50.34422346,3.406142091,50.16614336,3.501946491,48.6880944,2.311905601,51.32462378,3.324623782,50.89028338,3.500922029,49.6880944,0.498053509,51.89503024,2.81319452,49.52013809,3.503377451
866,43.3,47.99419985,0.498053509,50.44774525,3.485029536,50.2305396,3.501946491,48.61149867,2.388501331,51.40182301,3.401823005,50.93801809,3.500922029,49.61149867,0.498053509,51.94297269,2.850097589,49.44230756,3.503377451
867,43.35,47.93418394,0.498053509,50.55395667,3.485627163,50.30293941,3.501946491,48.53273001,2.467269991,51.47961172,3.479611717,50.98530155,3.500922029,49.53273001,0.498053509,51.99308806,2.887558749,49.3623041,3.503377451
868,43.4,47.87199511,0.498053509,50.66255169,3.488608378,50.38173683,3.501946491,48.45178842,2.548211579,51.55760777,3.499112116,51.03243936,3.500922029,49.45178842,0.498053509,52.04537636,2.925419273,49.28012772,3.503377451
869,43.45,47.80789454,0.498053509,50.77349693,3.49393982,50.46696789,3.501946491,48.36867391,2.631326095,51.63561111,3.499121252,51.07950356,3.500922029,49.36867391,0.498053509,52.09983759,2.962193334,49.1957784,3.503377451
870,43.5,47.74240464,0.498053509,50.88673391,3.499239143,50.55867237,3.501946491,48.28338646,2.71661354,51.71353271,3.499048651,51.12652091,3.500922029,49.28338646,0.498053509,52.15655638,3.001224957,49.10925616,3.503377451
871,43.55,47.67507617,0.498053509,51.00219522,3.499791194,50.65687684,3.501946491,48.19592609,2.804073913,51.79093651,3.498458244,51.17351858,3.500922029,49.19592609,0.498053509,52.21548911,3.042755235,49.02056099,3.503377451
872,43.6,47.60657784,0.498053509,51.11986085,3.500343245,50.76158464,3.501946491,48.10629278,2.893707215,51.86750956,3.497037095,51.22049501,3.500922029,49.10629278,0.498053509,52.2760078,3.086725598,48.92969289,3.503377451
873,43.65,47.53590658,0.498053509,51.24026455,3.500343245,50.87279783,3.501946491,48.01448655,2.985513445,51.94341176,3.494945089,51.26737322,3.500922029,49.01448655,0.498053509,52.33887661,3.132933026,48.83665186,3.503377451
874,43.7,47.46306239,0.498053509,51.36395549,3.500343245,50.99051583,3.501946491,47.9205074,3.079492604,52.0178456,3.491384727,51.31455099,3.500922029,48.9205074,0.498053509,52.40396394,3.181019824,48.74143791,3.503377451
875,43.75,47.38848105,0.498053509,51.48766268,3.500343245,51.11473748,3.501946491,47.82435531,3.175644692,52.09196943,3.487514355,51.3638947,3.500922029,48.82435531,0.498053509,52.47057671,3.23113952,48.64405102,3.503377451
876,43.8,47.31305115,0.498053509,51.61135024,3.500343245,51.24546049,3.501946491,47.72603029,3.273969708,52.16525358,3.482804304,51.41541491,3.500922029,48.72603029,0.498053509,52.53745682,3.283048991,48.54449121,3.503377451
877,43.85,47.23549937,0.498053509,51.7349935,3.500343245,51.38267963,3.501946491,47.62553235,3.374467653,52.2387178,3.478274323,51.46912383,3.500922029,48.62553235,0.498053509,52.60533092,3.336441373,48.44275847,3.503377451
878,43.9,47.15577466,0.498053509,51.85856275,3.500343245,51.5263555,3.501946491,47.52286147,3.477138526,52.31183485,3.473397169,51.52613493,3.500922029,48.52286147,0.498053509,52.6727949,3.390947763,48.3388528,3.503377451
